#lemma_id,#writing_and_accounting_related_ranked,#senses,#notes,#spellings
aškud [~DOOR],xx,"a part of a door, locking bar, wedge-shape",,"aškud, aškud2, aškudx(A2.ZA.AN.MUŠ3), aškud<sup>aš2</sup>-<sup>kud</sup>, aškud<sup>x</sup>-<sup>kud</sup>, aškudx(A2.ZA.MUŠ3), <sup>na4</sup>aškud, <sup>ŋeš</sup>aškud, aškud<sup>aš2</sup>-<sup>kud</sup>, aškud<sup>x</sup>-<sup>kud</sup>"
be [DIMINISH],xx,"to diminish,  reduce, to deduct,  remove, to withdraw,  receive (as an allotment)",,"be4, be4-be4, be6, be4<sup>bi</sup>-<sup>bi</sup>be4, bi3-bi3, be4<sup>bi</sup>-<sup>bi</sup>be4"
be [WITHDRAW],xx,withdraw,,be
DUB.KAK [SPIKE?],xx,spike?,,DUB-KAK
DUB.NAGAR.UM [OBJECT],xx,a reed object,,<sup>gi</sup>DUB-NAGAR-UM
dubšendilim [CONTAINER],xx,a container,,dub-šen-dilim2
dubšum [OBJECT],xx,a leather object,,"dub-šu-um, <sup>kuš</sup>dub-šu-um"
E.GEŠTUG2.NISABA.k [1],xx,1,,e2-GIŠ.TUG2.PI-<sup>d</sup>ŠE.NAGA
Eŋeštug-Nisaba [1],xx,1,,e2-ŋeštug2-<sup>d</sup>nisaba
Ekišibanannaaŋara [1],xx,1,,e2-kišib-ba-<sup>d</sup>nanna-a-ŋar-ra
Ekišibgalekura [1],xx,1,,e2-kišib-gal-e2-kur-ra
ešemen [ROPE],xx,"game,  play, skipping rope, double rope (area measure)",,"ešemen, ešemen2, ešemen3<sup>e</sup>-<sup>še</sup>-<sup>min3</sup>, ešemen5, e-šen, ešemen<sup>eš</sup>-<sup>me</sup>-<sup>en</sup>, ešemen3, ešemen3<sup>e</sup>-<sup>še</sup>-<sup>min3</sup>, ešemen<sup>eš</sup>-<sup>me</sup>-<sup>en</sup>"
ešla [TRAP],xx,a trap,,"<sup>ŋeš</sup>eš2-la2, <sup>ŋeš</sup>eš2<sup>e</sup>-<sup>še</sup>-la2, <sup>ŋeš</sup> <sup>is</sup>eš2-la2, <sup>ŋeš</sup>eš2<sup>e</sup>-<sup>še</sup>-la2, <sup>ŋeš</sup> <sup>is</sup>eš2-la2"
gar [KNOB],xx,"knob, a unit of measurement",,"gar3, kar, gar3-gar3, <sup>kuš</sup>gar3-ba, <sup>urud</sup>gar3, <sup>ŋeš</sup>gar3, <sup>ŋeš</sup>gar3-ba"
gid [LONG],xx,"(to be) long, to lengthen,  extend [V/t], to survey,  measure out a field [V/t], to tighten [V/t], to supply [V/t], elongated bead or perl [N]",,"gid2, gid2-gid2, gid2-da, <sup>gi</sup>-<sup>id</sup>gid2, gid2<sup>gi</sup>-<sup>id</sup>-<sup>gi</sup>-<sup>id</sup>gid2, gid2-da<sup>ku6</sup>, gi6-de3, gu4-ud-da, <sup>gi</sup>-<sup>id</sup>gid2, gid2<sup>gi</sup>-<sup>id</sup>-<sup>gi</sup>-<sup>id</sup>gid2"
ginindan [ROD],xx,measuring rod,,"gi-diš-nindan, gi-nindan, gi-niŋ2-ninda2-na, gi-diš-ninda2"
imkugsig [EARTH],xx,earth or ore of specific yellow color,,im-kug-sig17
Inanateš [TEXT],xx,"a text,  the scribal exercise Inana-teš",,<sup>d</sup>inana-teš2
kešed [BIND],xx,"to bind, to put together, to close (an account)",,"keš2, keše2-da, keš2-keš2, ke-eš2, keš-re, keš, ki-ki-ši-da10, ki-ši, <sup>ki</sup>keš-da, keš2-da-keš2-da, keš-da, <sup>ki</sup>keš-da"
na deg [CLEAR],xx,"to make clear,  explain, to consecrate,  purify, to separate, to clear out,  cut out",,"na degx(RI), na degx(RI)-degx(RI), na de, na PA.ḪUB2.DU-ga, ne degx(RI), na de6"
saŋ ŋal [MEASURED],xx,to measure out a heaped amount,,saŋ ŋal2
sar [SMOKE],xx,to smoke,,"sar, sar-sar"
šag balaʾa [~ACCOUNTING],xx,an accounting term,,šag4 bala
šag dab [THINK],xx,"to think,  conceive an idea, to take seriously",,"šag4 dab, šag4 dab5"
šegin [GLUE],xx,"glue, paint",,"še-gin2, še-gin3, <sup>kuš</sup> <sup>še</sup>-<sup>gi</sup>-<sup>in</sup>še-gin2, <sup>kuš</sup>še-gin2, še-gin7, <sup>kuš</sup> <sup>še</sup>-<sup>gi</sup>-<sup>in</sup>še-gin2"
ugu [SKULL],xx,"skull,  pate, first section of a balanced account,  capital, on,  over,  above [PRP], against,  towards [PRP], more than, top",,"ugu2, ugu, ugux(SAG<sup>n</sup><sup>g</sup>), ugux(U.SAG), ugu3, ugu-ugu, u2-gu, u3-gu, u3-gu2, <sup>ŋeš</sup>ugu, aga3, ugux(A.U.KA)"
uguʾe takaʾa [LEFT BY THE ACCOUNT],xx,left by the account,,ugu2 tak4
umbin [NAIL],xx,"nail (of finger or toe),  claw, finger,  toe, hoof,  paw, foot (of furniture), tip (of a shoe), a cutting implement",,"umbin, <sup>ŋeš</sup>umbin, <sup>kuš</sup>umbin, <sup>gi</sup>umbin, umbinx(UR2×KID2.SU), <sup>urud</sup>umbin, <sup>urud</sup>umbin-na"
umbin [WHEEL],xx,"wheel, part of a boat",,"<sup>ŋeš</sup>umbin, umbin, <sup>ŋeš</sup>umbinx(UR2×GAN2<sup>t</sup>)"
umbin TAR [SHAVE],xx,to shave,,"umbin TAR, <sup>ŋeš</sup>umbin TAR"
urra gul [ERASE A DEBT],xx,to erase a debt,,ur5-ra gul
uz [DUCK],xx,"wild duck, duck weight",,"uz, uz<sup>mušen</sup>, <sup>na4</sup>uz, uz-uz, uz3"
zag [NOSE-ROPE],xx,"nose-rope,  leading rope",,zag
zibana [BALANCE],xx,part of a balance,,zi-ba-na
ziga [EXPENDITURE],xx,expenditure,,zi-ga
zipatum [CORD],xx,cord,,"zi-ip-pa-tum, zi-pa-tum"
barsud [NOTATION],xx,a musical notation,,"bar-sud, bar-su13"
ŋešgiŋal [NOTATION],xx,a musical refrain,,"ŋeš-gi4-ŋal2, ŋeš-gi-ŋal2, ŋeš-ki-ŋal2, ŋiškim-ŋal2"
iriʾen [NOTATION],xx,notation,,iri-en
šagbatuku [NOTATION],xx,a liturgical rubric,,"šag4-ba-tuku, ša-ba-du-ga"
ah [SPITTLE],xx,"saliva,  spittle, phlegm,  mucus,  sputum, a paste, foam,  scum, poison, copper slag",,"aḫ6, eḫ, uḫ3, aḫ-da, <sup>urud</sup>aḫ6, uḫ4, <sup>a</sup>eḫ, <sup>a</sup>eḫ"
bur [TEAR],xx,to tear out,,"bur12, bu3, bur12-bur12, bu-ra, bu3-bu3, burx(KA×ŠU), bu7, bu3-ra2, bul, bur, bur12-bur12-bur12, <sup>bu</sup>-<sup>u</sup>bur12, bu15, <sup>bu</sup>-<sup>u</sup>bur12"
deg [COLLECT],xx,"to take, to gather up,  glean,  collect,  pick up, to tear out, to fall [V/i]",,"degx(RI)-degx(RI), degx(RI), de5-de5-ga, de, degx(RI)<sup>x</sup>-<sup>x</sup>degx(RI), PA.ḪUB2.DU-ga, de-de, de-degx(RI), de6, degx(RI)<sup>x</sup>-<sup>x</sup>degx(RI)"
dirig [TEAR],xx,to tear out,,dirig
gaz [KILL],xx,"to kill,  slaughter, to beat, to execute,  impose a death sentence, to break, to grind,  grate, to crumble, crumbled cheese [N], to thresh (grain), to smash,  to crush","gaz = la-ba-tu, na-sa-hu cf. CAD sub lapātu; cf. also gaz = hepu^ CAD H p 170","gaz, gaz-gaz, gaz2, ga, gaz<sup>zabar</sup>, gaz2-gaz2, gaz-za<sup>sar</sup>, kaz8, gaz-gaz<sup>ka</sup>-<sup>e</sup>-<sup>eš</sup>, gaz2<sup>sar</sup>, ka-az, kaš, gaz<sup>sar</sup>, gaz-gaz<sup>ka</sup>-<sup>e</sup>-<sup>eš</sup>"
mar [TEAR OUT?],xx,tear out?,,"ma-ma, mar"
suh [EXTRACT],xx,"to tear out, to extract, to choose",,"suḫ, suḫ-suḫ, suḫ5, su, suḫ3, suḫ3-suḫ3"
bala [TURN],xx,"to turn,  rotate,  turn over, reign,  rotation,  turn,  term of office [N], conversion (math.) [N], to cross, to carry, to transfer (boats over weirs and other riverine obstacles), to pour out,  libate,  make a libation, to hoist,  draw (water), to boil (meat in water), to change,  transgress (the terms of an agreement), to revolt, to transgress,  violate",,"bala, bala-bala, bal-la2, ib-le, bal-la, pa-la, ab-la, ab-la2, ab-le, ba, ba-la2, bil2, pa-le, <sup>ba</sup>-<sup>al</sup>bala, <sup>ba</sup>-<sup>al</sup>bala"
hi [MIX],xx,"to mix (up), alloy [N], to process (skin or wool,  in the latter possibly a stage between combing and spinning), to be rectangular [V/i]",,"ḫi, ḫi-ḫi, <sup>ḫa5</sup>ḫi, ḫa, ḫe2-a-ḫe2, ḫi-a, <sup>ḫa5</sup>ḫi"
lu [MIX],xx,"to disturb,  stir up,  muddy, to cover completely, to mix",,"lu, lu3, lu3-lu3, lu-lu, lu3-lu, lu3<sup>lu</sup>-<sup>lu</sup>lu3, lu2-lu2, lu3<sup>la</sup>, <<lu2>>, lu2-lu, <sup>lu</sup>-<sup>u</sup>lu3, <sup>lu</sup>lu3, lu3<sup>lu</sup>-<sup>lu</sup>lu3, lu3<sup>la</sup>, <sup>lu</sup>-<sup>u</sup>lu3, <sup>lu</sup>lu3"
šar [MIX],xx,to mix,,"šar2, šar2-šar2, SAR-da, šar2-šar2<sup>ša2</sup>-<sup>ar2</sup>-<sup>ša2</sup>-<sup>ra</sup>-ra, SAR, ša-ar, šar2-šar2-ra, šar2-šar2<sup>ša2</sup>-<sup>ar2</sup>-<sup>ša2</sup>-<sup>ra</sup>-ra"
dag [DEMOLISH],xx,"to demolish, to scratch, overthrow,  military repulse [N]",,"dag, dag-dag, dagx(E2×U), da"
ed [ASCEND],xx,"to go up,  ascend, to go down,  descend, to bring up,  make ascend [V/t], to bring down,  make descend [V/t], to knock down,  demolish [V/t], to scratch [V/t], to pierce [V/t], to forfeit [V/t], to rage,  be rabid",,"ed3, e, be2, e5, e-de3, ed3-ed3, edx(DU.LAGAR<sup>g</sup>), e3, UD×(U.U.U).DU"
kad [TIE],xx,"to tie,  gather, to itch,  scratch, to weave a mat?",,"kad4, kad5, kara2, kad8, gar3, ka-ad, kad3, kad3-kad3, kad4-da, kad4-kad4, kad6, <sup>qat</sup>kad5, <sup>qat</sup>kad5"
ki hur [SCRATCH],xx,to scratch the earth,,"ki ḫur, ki ḫur-ḫur, ki <sup>ḫu</sup>ḫur, ki <sup>ḫu</sup>ḫur"
tuk [BREAK],xx,"to break off,  pinch off, to cut,  fell, to demolish, to scratch, to soften,  dissolve",,tuk8
kiri hur [PIERCE WITH A SPINDLE],xx,to pierce with a spindle,,"kiri3 ḫur, kiri3 ḫur-ḫur"
durkud [CUTTER],xx,instrument for cutting the umbilical cord,,<sup>gi</sup>dur-kud
zadim [STONE-CUTTER],xx,stone-cutter,,"zadim, za-dim2, za2-dim2, <sup>lu2</sup>za2-dim2"
zadimgal [LAPIDARY],xx,"lapidary,  stone-cutter",,"zadim-gal, zadimgalx(GAL.MUG<sup>g</sup>)"
zagindim [LAPIS-CUTTER],xx,lapis-lazuli cutter,,za-gin3-dim2
GI%GI.ak [ARROW?],xx,arrow?,,GI%GI-ak
pa [BRANCH],xx,"branch,  frond, wing,  feathers, top",,"pa, <sup>ŋeš</sup>pa, <sup>gi</sup>pa, pa9, pad3, ab, pa-pa, <sup>pa</sup>-<sup>a</sup>pa, <sup>kuš</sup>pa, <sup>ŋeš</sup>pa-pa, <sup>pa</sup>-<sup>a</sup>pa"
aŋkas [ACCOUNT],x,statement,,aŋ2-kas7
allaharu [MINERAL],x,a mineral used to produce a white color,,"al-la-ḫa-ru, al-lu-ḫa-ru-um, a-al-la-ḫa-ru, al-la-ḫa-ru-um, al-lu-ḫa-ru"
ara [TIMES],x,"times (with numbers), step (math.), way, trip, omen, calculation",,"a-ra2, a-ra, a-ra2-a-ra2, a<sup>a</sup>-<sup>ra</sup>ra2, iri, iri<sup>ki</sup>, a-ri-a, a<sup>a</sup>-<sup>ra</sup>ra2"
aslum [UNIT],x,a unit of measurement,,as4-lum
ašegin [~GLUE],x,a solution of glue in water?,,a-še-gin2
ban [UNIT],x,"a unit of capacity, measuring vessel",,"ba-an, <sup>ŋeš</sup>ba-an, ban2, <sup>gi</sup>ba-an, ban2-da, <sup>dug</sup>ban2, <sup>dug</sup> <sup>ba</sup>-<sup>an</sup>-<sup>da</sup>ban2, <sup>urud</sup>ba-an, <sup>ŋeš</sup>ban2, <sup>ba</sup>-<sup>an</sup>-<sup>da</sup>ban2, <sup>dug</sup>niŋ2-<sup>ba</sup>-<sup>an</sup>ban2, ban3, <sup>dug</sup>ban2-da, <sup>dug</sup>ban3, <sup>dug</sup>niŋ2-ban2, <sup>dug</sup> <sup>ba</sup>-<sup>an</sup>-<sup>da</sup>ban2, <sup>ba</sup>-<sup>an</sup>-<sup>da</sup>ban2, <sup>dug</sup>niŋ2-<sup>ba</sup>-<sup>an</sup>ban2"
banaš [VESSEL],x,a vessel of one seah capacity,,ba-an-aš
bara [~COLOR],x,a color term,,bara6
bariga [UNIT],x,"a unit of capacity, a measuring vessel",,"ba-ri2-ga, <sup>ŋeš</sup>ba-ri2-ga, <sup>gi</sup>ba-ri2-ga, bariga, ba-ra-gim, ba-ri2-gim, <sup>ŋeš</sup>ba-an-ri2-ga, <sup>ŋeš</sup>ba-ri2-TI, ba-ri-ga"
bulug [NEEDLE],x,"needle,  drill, chisel, seal pin, stake, boundary",,"bulug, bulug4, <sup>urud</sup>bulug4, bulug<sup>zabar</sup>, <sup>ŋeš</sup>bulug, bulug2, <sup>urud</sup>bulug, mu-lu-ug, bu-lu-ug, bulug<sup>bu</sup>-bulug, bulug4<sup>zabar</sup>, <sup>bu</sup>-<sup>lu</sup>-<sup>ug</sup>bulug, <sup>bu</sup>-<sup>lu</sup>-<sup>ug</sup>bulug2, <sup>na4</sup>bulug, <sup>na4</sup>bulug4, <sup>na4</sup>mu-lu-ug, <sup>na4</sup>mu-lu-ug2, <sup>na4</sup>mug, <sup>ŋeš</sup>bulug4, bulug-bulug, mug, bulug<sup>bu</sup>-bulug, <sup>bu</sup>-<sup>lu</sup>-<sup>ug</sup>bulug, <sup>bu</sup>-<sup>lu</sup>-<sup>ug</sup>bulug2"
dal [VESSEL],x,a measuring vessel?,,"<sup>dug</sup>dal, dal, dal<sup>zabar</sup>, <sup>dug</sup>da-al"
dala [THORN],x,"thorn,  pin,  needle, a lance",,"<sup>ŋeš</sup>dala2, dala2, dala2<sup>zabar</sup>, <sup>urud</sup>dala2, dala2<sup>kug</sup>-<sup>sig17</sup>, <sup>ŋeš</sup>dala2(IGI.NI), dala2(IGI.NI), dala2(IGI.NI)<sup>zabar</sup>, dala2<sup>kug</sup>-<sup>babbar</sup>, <sup>kuš</sup>dala2"
dara [RED],x,"(to be) red, (to be) brown, blood [N]",,dara4
du [MEASURING VESSEL?],x,measuring vessel?,,<sup>ŋeš</sup>du10
dubdub [~FLOUR],x,a designation of flour,,"dub-dub, du-ub-du-ub"
dubla [TOWER],x,gate tower,,"dub-la2, <sup>ŋeš</sup>dub-la2"
Dublamah [1],x,1,,dub-la2-maḫ
dubsaŋ [FIRST],x,"first, before, pre-eminent, leader [N], pre-eminence [N], precedence [N]",,"dub-saŋ, dug4-saŋ"
dubus [SECOND],x,"second,  second-in-rank",,dub-us2
duhduhum [STONE WEIGHT],x,a type of stone weight,,"duḫ, <sup>na4</sup>duḫ-duḫ-um"
DUN3@g.la2 [~WORKER],x,a qualification of workers,,DUN3<sup>g</sup>-la2
emedub [UNIT],x,"a unit,  a measurement of capacity, a vessel",,"gurmedub, emedub, emedub2"
GAR.banda3 [CONTAINER],x,"a container, a unit of measurement for oils and fats",,"GAR-banda3<sup>da</sup>, GAR-banda3, GAR-banda3<sup>da</sup>"
Gašannisaba [1],x,1,,<sup>d</sup>gašan-nisaba
giggi [BLACK],x,(to be) black,,"giggi, gig2-ga, gig2-ge, gi6-gi6, giggi<sup>mušen</sup>, gi-gi, giggi<sup>sar</sup>, gi-ki, gi6-gi6-ga, gig, gig2<sup>ku</sup>-<sup>ga</sup>-ga, gi16, gi8, ki-ik-ki, <sup>gi</sup>-<sup>ig</sup>giggi, gig2<sup>ku</sup>-<sup>ga</sup>-ga, <sup>gi</sup>-<sup>ig</sup>giggi"
giŋ [UNIT],x,"a unit of weight,  shekel, a unit of area, a unit of volume",,giŋ4
giŋ bar [HEW],x,hew,,giŋ4 bar
giŋtur [UNIT],x,"a unit of area, a unit of volume, a unit of weight",,giŋ4-tur
gu birak [GREENISH],x,"locust-neck,  a greenish color",,"gu2 bir5, gu2 bir5<sup>mušen</sup>, gu2 bir5-ra<sup>mušen</sup><sup>zabar</sup>, gu2 buru5<sup>mušen</sup>"
gubar [INGOT],x,"metal ingot, a container, a unit of measurement",,gu2-bar
gug [TOOTH],x,"tooth, blade, beak, dogbite",,"gug, gug6<sup>gu</sup>-<sup>ug</sup>, gug6, gug6<sup>gu</sup>-<sup>ug</sup>"
gun [LOAD],x,"load, yield, rent,  tax,  tribute, a unit of weight",,"gun2, gu2-un, gun2-gun2, un, gu2-un-gu2-un, <sup>ku</sup>-<sup>un</sup>gu2-un, gun2<sup>un</sup>-<sup>na</sup>, <sup>ku</sup>-<sup>un</sup>gu2-un, gun2<sup>un</sup>-<sup>na</sup>"
gur [UNIT],x,"unit of capacity, a measuring vessel",,"gur, gur9, gur23, gur9<sup>gur</sup>, kur, <sup>dug</sup>gur, gur10, gur9<sup>gur</sup>"
gurlugal [UNIT],x,a unit of measurement,,gur-lugal
gurmah [UNIT],x,a unit of capacity,,gur-maḫ
gurmi [UNIT],x,unit,,gurmi
gursaŋŋal [UNIT],x,unit of measure,,"gur-saŋ, gur-saŋ-ŋal2"
gursala [CONTAINER],x,a container,,"<sup>gi</sup>gur-sal4-la, gur-sal4-la, <sup>gi</sup>gur-sal-la, <sup>urud</sup>gur-sal4-la, gur-sal, gur-sal-la"
henzer [BLOCK],x,"to block, to seal,  caulk, to squeeze",,"ḫe-ḫe-ze2-er, ḫenzer, ḫe-ḫe-en-ze2-er"
hibiz [RED],x,red,,ḫibiz
Hibiz [1],x,1,,ḫibiz
huš [REDDISH],x,"(to be) furious,  angry, (to be) reddish,  ruddy",,"ḫuš, ḫu-us2, ḫuš-ḫuš, ḫuš2, <sup>ḫu</sup>-<sup>uš</sup>ḫuš, <sup>tug2</sup>ḫuš, <sup>ḫu</sup>-<sup>uš</sup>ḫuš"
KAB.PIRIG×ZA [MEASURING CONTAINER?],x,measuring container?,,<sup>ŋeš</sup>KAB-PIRIG×ZA
kigalla [LARGE WEIGHT?],x,large weight?,,<sup>na4</sup>ki-gal-la2
kuli [UNIT],x,unit of liquid measurement,,ku-li
lidga [VESSEL],x,"a measuring vessel, a unit of capacity",,"lid2-ga, lid2, <sup>du</sup>-<sup>uṭ</sup>-<sup>ṭu</sup>DIŠ, <sup>ŋeš</sup>lidda2<sup>lid</sup>-<sup>da</sup>, lid2-da-ga, <sup>ŋeš</sup>lidda2, <sup>ŋeš</sup>lid2-da, <sup>ŋeš</sup>lid2-ga, <sup>ŋeš</sup>li2-id-ga, DIŠ, li-id-ga, lidda, lidda2, <sup>du</sup>-<sup>uṭ</sup>-<sup>ṭu</sup>DIŠ, <sup>ŋeš</sup>lidda2<sup>lid</sup>-<sup>da</sup>"
lu ninda aŋ [BREAD MEASURER],x,bread measurer,,lu2 ninda aŋ2
mana [UNIT],x,a unit of weight,,ma-na
manatur [UNIT],x,"a unit of area, a unit of volume, a unit of weight",,ma-na-tur
maš [UNIT OF MEASURE?],x,unit of measure?,,maš
mes [BLACKNESS],x,"blackness,  black spot, black wood",,"mes, <sup>ŋeš</sup>mes"
mešakum [STRICKLE],x,strickle for levelling grain in measuring-vessel,,me-ša-kum
MUŠ3 [WEIGHT],x,a weight,,MUŠ3<sup>urud</sup>
MUŠ3.KA.U.GUD [CUP-BEARER],x,cup-bearer,,"MUŠ3-KA-U.GUD, MUŠ3-KA-GA-U.GUD"
niŋ [CONTAINER],x,a measuring container or vessel,,"<sup>dug</sup>niŋ2, <sup>ŋeš</sup>niŋ2, <sup>urud</sup>niŋ2, <sup>gi</sup>niŋ2, <sup>kuš</sup>niŋ2, <sup>urud</sup><sup>ŋeš</sup>niŋ2"
niŋbanda [UNIT],x,a unit of measurement,,"niŋ2-banda3<sup>da</sup>, niŋ2-banda3, niŋ2-banda3<sup>da</sup>"
niŋgiggi [BLACK],x,"that which is black, spleen",,niŋ2-giggi
niŋninda [MEASURING VESSEL],x,measuring vessel,,<sup>ŋeš</sup>niŋ2-ninda2
niŋtabninda [MEASURING VESSEL?],x,measuring vessel?,,<sup>dug</sup>niŋ2-tab-ninda2
ninda [VESSEL],x,a measuring vessel,,"<sup>ŋeš</sup>ninda2, ninda2, <sup>dug</sup>ninda2, nindax(UŠ), nindax(NINDA2×ŠE)"
saŋkešed [FISH],x,"a fish, a measurement for fish delivery",,"saŋ-keš2, saŋ-keš2<sup>ku6</sup>"
sar [GARDEN],x,"garden, a unit of area, a unit of volume",,"sar, sar-sar, sa-ra-ak, sar-ba, sa"
sigira [~VESSEL],x,qualification of a measuring vessel,,si-gir-ra
sila [UNIT],x,"a unit of capacity, a vessel of one @sila capacity",,"sila3, <sup>dug</sup>sila3, <sup>ŋeš</sup>sila3, <sup>dug</sup>niŋ2-sila3, <sup>urud</sup>sila3, sila3<sup>zabar</sup>, <sup>si</sup>-<sup>la</sup>sila3, <sup>si</sup>-<sup>la</sup>sila3"
sila banda [VESSEL],x,a measuring vessel,,"<sup>dug</sup>sila3 banda3<sup>da</sup>, sila3 banda3<sup>da</sup>, <sup>dug</sup>sila3 ba-an-du8, <sup>dug</sup>sila3 banda3<sup>da</sup>, sila3 banda3<sup>da</sup>"
sila burzi [BOWL],x,a bowl,,"sila3 bur-zi, <sup>dug</sup>sila3 bur-zi, <sup>ŋeš</sup>sila3 bur-zi"
sila gida [UNIT],x,a unit of measure,,sila3 gid2
sila KU.du3 [CONTAINER],x,an earthenware container,,<sup>dug</sup>sila3 KU-du3
sila saŋa [CONTAINER],x,an earthenware container,,"<sup>dug</sup>sila3 saŋa, sila3 saŋa, sila3 saŋ-ŋa2, <sup>dug</sup>sila3 saŋ-ŋa2"
sila zaghar [CONTAINER],x,a small earthenware container,,"<sup>dug</sup>sila3 zag-ḫar, sila3 zag-ḫar, <sup>dug</sup>sila3 zag-ḫa-ar"
sila zahili [CONTAINER],x,cress container,,"sila3 za3-ḫi-li, <sup>dug</sup>sila3 za3-ḫi-li, sila3 za-aḫ-li, sila3 <sup>u2</sup>za3-ḫi-li"
silagal [VESSEL],x,measuring vessel,,"<sup>dug</sup>sila3-gal, sila3-gal"
simtum [CONTAINER],x,a measuring container,,"si2-im-tum, <sup>gi</sup>si2-im-tum"
su [RED],x,"(to be) red,  brown",,"su4, su, sa5, su4-su4, su3, su13, sa, sa5<sup>mušen</sup>, su9, si5-a, su2, <sup>sa</sup>su4, si5, šu4, <sup>sa</sup>su4"
sugu [REDNESS],x,"redness,  reddening",,su-gu7
še [BARLEY],x,"barley, grain, a unit of length, a unit of area, a unit of volume, a unit of weight, cone?",,"še, še-am, še-e, <sup>ŋeš</sup>še"
šebar [UNIT OF MEASURE],x,unit of measure,,še-bar
šebida [DISDAIN],x,"to disdain,  neglect, to be negligent [V/i], to sin [V/i]",,"še-ba, še-bi-da, še-be-da, še-be2, še-bi-de3, ši-ba"
šu de [CARRY],x,"to carry, to apply oneself to a task, to touch, to lend a hand",,"šu de6, šu tum2-tum2, šu tum3, šu tum3-tum3, šu tum4"
šu de [LAY HANDS ON],x,to lay hands on (something/somebody not to be touched),,šu de6
šu dug [TOUCH],x,to touch,,"šu du11-du11, šu dug4, šu tu, šu du, šu di, šu du-ga, šu di-di"
šu gi [REPAY],x,"to repay, to return something to someone,  settle an account",,"šu gi4, šu gi4-gi4, šu gi, šu gi-gi"
šu taka [SEND],x,to send,,"šu taka4, šu tak4-tak4, šu ta, šu takax(BALAG)"
šu teŋ [ACCEPT],x,"to accept, to receive",,"šu teŋ4, šu teŋ3, šu teŋ3-ŋa2, šu teŋ4-teŋ4, šu ta-ŋa2, šu te-em-ga, šu te-en"
tah [ADD],x,"to add,  increase",,"taḫ, ta, taḫ-taḫ, taḫ3, ta-eḫ, ta-ḫe"
tur [SMALL],x,"(to be) small, to reduce,  diminish [V/t], to subtract [V/t], (to be) young, to deduct [V/t]",,"tur, tur-tur, tur<sup>zabar</sup>, tur-tur<sup>zabar</sup>, tur<sup>mušen</sup>, tur<sup>sar</sup>, du12, tu-tu, tur-tur<sup>ku6</sup>, tur<sup>ku6</sup>, <sup>tu</sup>-<sup>ur</sup>tur, du13<sup>tu</sup>-<sup>ut</sup>-<sup>tu</sup>-du13<sup>zabar</sup>, tu-re, tu-tu-re, tu-tu-ur, tur-ra<sup>mušen</sup>, tur<sup>tu</sup>, tur<sup>kug</sup>-<sup>babbar</sup>, tur<sup>kug</sup>-<sup>sig17</sup>, tur5, tur7-tur7, tur7, <sup>tu</sup>-<sup>ur</sup>tur, du13<sup>tu</sup>-<sup>ut</sup>-<sup>tu</sup>-du13<sup>zabar</sup>, tur<sup>tu</sup>"
ulin [TWINE],x,colored twine,,"<sup>eš2</sup>u2-li-in, u2-li, u2-li-in"
umbin [~BOAT],x,a part of a boat,,<sup>ŋeš</sup>umbin
umbin kiŋ [SHEAR],x,to shear,,umbin kiŋ2
umbin.TAB.TAB [~GOAT],x,a qualification of goats,,umbin-TAB-TAB
umbinŋiri [CLAW],x,claw,,umbin-ŋiri3
umbinsi [NAIL],x,finger nail,,umbin-si
umbinšeba [NAIL],x,"nail, claw",,"umbin-še-ba, umbin-še"
upu [UNIT],x,a unit of surface measurement,,upux(AŠ<sup>z</sup>)
zabar [BRONZE],x,"bronze, arrowhead, weapon, metal mirror, measuring vessel made of bronze, a metal bowl, (to be) shiny [V/i], (to be) bright,  pure [V/i]",,"zabar, zabar3, <sup>ŋeš</sup>zabar, za-bar"
zarbad [REDNESS],x,redness,,zar-bad3
zipah rah [MEASURE],x,to measure with a half-cubit measure,,zipaḫ2 raḫ2
zipah rah [UNMNG],x,unmng,,zipaḫ2 raḫ2
kidu [NOTATION],x,a musical notation,,ki-du12
kirugu [NOTATION],x,"a division notation in certain literary compositions,  possibly relating to phases of a performance",,"ki-ru-gu2, ki-ru-gu"
mugimal [NOTATION],x,"refrain, notation",,mu-gi-ma-al
sagalamkad [NET],x,net,,<sup>ŋeš</sup>sa-galam-kad5
esir [BITUMEN],x,"bitumen,  pitch",,"esir2, esir"
gugiresir [ASSIGNMENT],x,"a work assignment,  treating palm leaflet mats with bitumen",,"gu2-gir, gu2-gir-esir2, gu2-gir-esir2-ra, gu2-gir-ra"
igiʾesirak [BITUMEN],x,a kind of bitumen,,"igi-esir-ra, igi-esir"
suhur [TRIM],x,"to trim,  make smaller",,"suḫur, zu-ḫu-ru"
suhur [TUFT],x,"tuft,  plume, crown (of a tree)",,"suḫur, <sup>ŋeš</sup>suḫur, <sup>gi</sup>suḫur"
lugize [REED-CUTTER],x,reed-cutter,,lu2-gi-ze
